,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
1, CHRISTOPHER CONSTANT,AK,164037.51,,,,
2, MARY PELTOLA,AK,6506330.37,,,AK-1,86
3, ADAM L WOOL,AK,16217.07,,,,
4, JOSHUA CARL REVAK,AK,121841.0,,,,
5, SARAH PALIN,AK,1908104.64,,,,
6, RANDY PURHAM,AK,5621.6,,,,
7, NICHOLAS III BEGICH,AK,1552558.33,,,,
8, JOHN B JR. COGHILL,AK,26425.0,,,,
9, TARA M SWEENEY,AK,332195.05,,,,
10, DONALD E YOUNG,AK,916475.36,,,,
11, GREGG BOWYER MR. BRELSFORD,AK,43376.41,,,,
12, ALAN GROSS,AK,888083.17,,,,
13, ALYSE GALVIN,AK,124897.32,,,,
14, CHRIS BYE,AK,3940.25,,,,
15, SHERRY METTLER,AK,8350.0,,,,
16, JEFF LOWENFELS,AK,153418.08,,,,
17, JAMES AVERHART,AL,1000.0,,,,
18, JR  JERRY LEE CARL,AL,931386.18,,,AL-1,69
19, DOUGLAS WESTLEY III LAMBERT,AL,0.0,,,,
20, PHYLLIS HARVEY-HALL,AL,60204.67,,,AL-2,97
21, VIMAL PATEL,AL,59812.13,,,,
22, MARTHA ROBY,AL,47712.24,,,,
23, JEFF COLEMAN,AL,0.0,,,,
24, TROY KING,AL,3028.21,,,,
25, JEFF COLEMAN,AL,362073.05,,,,
26, FELIX BARRY MOORE,AL,430418.03,,,AL-2,76
27, JONATHAN SMITH,AL,11139.71,,,,
28, KAREN LIN MRS VEASEY,AL,13237.7,,,AL-3,65
29, ADIA WINFREY,AL,23.0,,,,
30, MICHAEL ROGERS,AL,1675693.91,,,AL-3,77
31, MICHAEL T JOINER,AL,538.99,,,,
32, DOUGLAS A. BELL,AL,6966.11,,,,
33, RICKY NEIGHBORS,AL,23619.51,,,AL-4,93
34, ROBERT B. REP. ADERHOLT,AL,973923.28,,,AL-4,77
35, JOHN COCHRAN,AL,6298.7,,,,
36, KATHY L WARNER-STANTON,AL,84706.25,,,AL-5,93
37, MO BROOKS,AL,4750635.47,,,,
38, CHRIS LEWIS,AL,373.3,,,,
39, DALE WHITNEY STRONG,AL,1913691.45,,,AL-5,71
