,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
1, MARY PELTOLA,AK,6506330.37,,,AK-1,86.0
4, SARAH PALIN,AK,1908104.64,,,,
6, NICHOLAS III BEGICH,AK,1552558.33,,,,
13, CHRIS BYE,AK,3940.25,,,,
16, JAMES AVERHART,AL,1000.0,,,,
17, JR  JERRY LEE CARL,AL,931386.18,,,AL-1,69.0
18, DOUGLAS WESTLEY III LAMBERT,AL,0.0,,,,
19, PHYLLIS HARVEY-HALL,AL,60204.67,,,AL-2,97.0
20, VIMAL PATEL,AL,59812.13,,,,
21, MARTHA ROBY,AL,47712.24,,,,
22, JEFF COLEMAN,AL,0.0,,,,
23, TROY KING,AL,3028.21,,,,
24, JEFF COLEMAN,AL,362073.05,,,,
25, FELIX BARRY MOORE,AL,430418.03,,,AL-2,76.0
26, JONATHAN SMITH,AL,11139.71,,,,
27, KAREN LIN MRS VEASEY,AL,13237.7,,,AL-3,65.0
28, ADIA WINFREY,AL,23.0,,,,
29, MICHAEL ROGERS,AL,1675693.91,,,AL-3,77.0
30, MICHAEL T JOINER,AL,538.99,,,,
31, DOUGLAS A. BELL,AL,6966.11,,,,
32, RICKY NEIGHBORS,AL,23619.51,,,AL-4,93.0
33, ROBERT B. REP. ADERHOLT,AL,973923.28,,,AL-4,77.0
34, JOHN COCHRAN,AL,6298.7,,,,
35, KATHY L WARNER-STANTON,AL,84706.25,,,AL-5,93.0
36, MO BROOKS,AL,4750635.47,,,,
37, CHRIS LEWIS,AL,373.3,,,,
38, DALE WHITNEY STRONG,AL,1913691.45,,,AL-5,71.0
39, KEVIN ANDREW BLALOCK,AL,49212.24,,,,
40, CASEY WARDYNSKI,AL,777338.34,,,,
41, HARRISON GAGE WOODARD WRIGHT,AL,0.0,,,,
42, JOHN ROBERTS,AL,167173.32,,,,
43, PAUL SANFORD,AL,70417.97,,,,
44, CHARLES THOMPSON,AL,34895.13,,,,
45, GARY PALMER,AL,1166573.39,,,AL-6,96.0
46, TERRI A. SEWELL,AL,1606404.5,,,AL-7,81.0
47, EDDISON T WALTERS,AL,0.0,,,,
48, BEATRICE JACKSON NICHOLS,AL,47695.24,,,AL-7,78.0
49, CHAD CAUSEY,AR,15181.59,,,,
50, MONTE HODGES,AR,60079.23,,,AR-1,96.0
51, ERIC ALAN RICK CRAWFORD,AR,637982.03,,,AR-1,70.0
52, PRINCELLA D SMITH,AR,0.0,,,,
53, BRANDT SMITH,AR,30450.0,,,,
54, JODY SHACKELFORD,AR,21377.52,,,,
55, JOYCE ANN SENATOR ELLIOTT,AR,129574.4,,,,
56, NICHOLAS CARTWRIGHT,AR,19989.0,,,,
57, GWENDOLYNN MILLEN MRS. COMBS,AR,0.0,,,,
58, CONRAD E REYNOLDS,AR,150194.2,,,,
59, DAVID P POSTON,AR,1309.86,,,,
60, JAMES FRENCH HILL,AR,2659110.5,,,AR-2,76.0
61, DAVID JEFFREY WHITAKER,AR,0.0,,,,
62, LAUREN HAYS,AR,44418.3,,,AR-3,71.0
63, STEVE WOMACK,AR,1083110.59,,,AR-3,96.0
64, JAMES PAUL HENDREN,AR,19.96,,,,
65, NEIL KUMAR,AR,110333.24,,,,
